"year","gov_period","tone","right","center","left","years_inoffice","change","election","partner_right","partner_center","partner_left","partner_years_inoffice","partner_change","partner_election"
1979,USA03,0.31389849234301703,0,0,1,3,2.0,0,1,0,0,3,1.0,0
1979,USA03,-0.1521654386276481,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,0.4579453161578524,0,0,1,3,2.0,0,0,0,1,16,0.0,0
1979,USA03,-0.6010183769569952,0,0,1,3,2.0,0,1,0,0,14,0.0,0
1979,USA03,2.9363039958468384,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,0.48158681913536583,0,0,1,3,2.0,0,0,0,1,10,0.0,0
1979,USA03,0.36047303255786023,0,0,1,3,2.0,0,0,0,1,5,2.0,0
1979,USA03,1.017421038583966,0,0,1,3,2.0,0,1,0,0,1,0.0,1
1979,USA03,0.7522476586163735,0,0,1,3,2.0,0,0,0,1,8,0.0,0
1979,USA03,1.7501803815358068,0,0,1,3,2.0,0,0,0,0,4,0.0,0
1979,USA03,-0.5834475858732322,0,0,1,3,2.0,0,0,1,0,4,0.0,0
1979,USA03,0.8972220965081545,0,0,1,3,2.0,0,0,0,1,2,1.0,0
1979,USA03,2.1881705688915325,0,0,1,3,2.0,0,1,0,0,14,0.0,0
1979,USA03,-0.6469631525345978,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,-0.4712257622921836,0,0,1,3,2.0,0,0,0,1,1,2.0,1
1979,USA03,-1.2019451989909857,0,0,1,3,2.0,0,0,0,1,21,0.0,0
1979,USA03,0.4980157139091448,0,0,1,3,2.0,0,0,0,1,3,0.0,0
1979,USA03,-0.6156611135332195,0,0,1,3,2.0,0,0,0,1,13,0.0,0
1979,USA03,0.28830469090717425,0,0,1,3,2.0,0,0,1,0,8,0.0,0
1979,USA03,0.1451662422573241,0,0,1,3,2.0,0,1,0,0,3,0.0,0
1979,USA03,0.3424087746219211,0,0,1,3,2.0,0,1,0,0,6,0.0,0
1979,USA03,0.8725787021393829,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,0.8140878276762722,0,0,1,3,2.0,0,0,0,1,24,0.0,0
1979,USA03,1.4362615282695712,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1980,USA03,0.3781522025156301,0,0,1,4,2.0,0,0,0,1,1,0.0,1
1980,USA03,1.710270438489366,0,0,1,4,2.0,0,0,0,1,35,0.0,0
1980,USA03,1.0193595587004234,0,0,1,4,2.0,0,0,0,1,2,0.0,0
1980,USA03,0.2772324979278986,0,0,1,4,2.0,0,0,0,1,1,0.0,1
1980,USA03,0.6270431041640343,0,0,1,4,2.0,0,0,1,0,4,1.0,0
1980,USA03,1.6462045402961554,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,0.22756050836069086,0,0,1,4,2.0,0,1,0,0,5,2.0,0
1980,USA03,0.6813055430793131,0,0,1,4,2.0,0,0,0,1,10,0.0,0
1980,USA03,0.0030345871461481266,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,-0.9359939925084779,0,0,1,4,2.0,0,0,1,0,12,0.0,0
1980,USA03,-0.7319983982928493,0,0,1,4,2.0,0,0,1,0,9,0.0,0
1980,USA03,1.6233834332911181,0,0,1,4,2.0,0,0,1,0,5,0.0,0
1980,USA03,-1.1217068289127665,0,0,1,4,2.0,0,0,0,1,4,0.0,0
1980,USA03,5.094526606357324,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,0.7666184131320914,0,0,1,4,2.0,0,1,0,0,1,0.0,1
1980,USA03,-0.7195986891509065,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,0.282585886569783,0,0,1,4,2.0,0,0,1,0,1,1.0,1
1980,USA03,1.5873684505149983,0,0,1,4,2.0,0,1,0,0,15,0.0,0
1980,USA03,0.1791158102384287,0,0,1,4,2.0,0,1,0,0,1,0.0,1
1980,USA03,2.621330201879342,0,0,1,4,2.0,0,0,0,1,26,0.0,0
1980,USA03,1.9913742967443833,0,0,1,4,2.0,0,0,0,1,6,0.0,0
1980,USA03,0.24934605607399707,0,0,1,4,2.0,0,0,0,1,2,0.0,0
1980,USA03,0.9675747774832306,0,0,1,4,2.0,0,1,0,0,1,2.0,1
1980,USA03,2.730893499404793,0,0,1,4,2.0,0,0,0,1,5,1.0,0
1980,USA03,-2.0810271628459165,0,0,1,4,2.0,0,0,1,0,1,1.0,1
1980,USA03,-0.12438196773197863,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,0.6454951485700411,0,0,1,4,2.0,0,1,0,0,7,0.0,0
1980,USA03,1.360669238573533,0,0,1,4,2.0,0,0,0,1,4,0.0,0
1980,USA03,-0.375596025846999,0,0,1,4,2.0,0,0,1,0,2,0.0,0
1980,USA03,-1.7679207535389767,0,0,1,4,2.0,0,0,0,1,1,0.0,1
1980,USA03,0.2224399709642313,0,0,1,4,2.0,0,1,0,0,2,2.0,0
1980,USA03,-0.6287093118015727,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,0.11168570032116865,0,0,1,4,2.0,0,0,0,1,21,0.0,0
1980,USA03,2.82560615531258,0,0,1,4,2.0,0,1,0,0,3,1.0,0
1980,USA03,0.6846721499509734,0,0,1,4,2.0,0,0,0,1,11,0.0,0
1980,USA03,-0.6800528475404262,0,0,1,4,2.0,0,0,0,1,5,2.0,0
1980,USA03,1.3752620049597724,0,0,1,4,2.0,0,0,1,0,3,0.0,0
1980,USA03,1.1466438491817268,0,0,1,4,2.0,0,0,0,1,2,2.0,0
1980,USA03,0.926603461143582,0,0,1,4,2.0,0,0,0,1,33,0.0,0
1980,USA03,0.6758259153705373,0,0,1,4,2.0,0,0,1,0,15,0.0,0
1980,USA03,0.41067478812667435,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,0.5579227777460849,0,0,1,4,2.0,0,0,1,0,10,0.0,0
1980,USA03,0.18820067523400485,0,0,1,4,2.0,0,0,1,0,1,1.0,1
1980,USA03,4.862713489515594,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,0.7225281344080132,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,1.1905076114802737,0,0,1,4,2.0,0,0,0,1,3,0.0,0
1980,USA03,0.7554171190458163,0,0,1,4,2.0,0,0,0,1,1,0.0,1
1980,USA03,0.5292395380820842,0,0,1,4,2.0,0,1,0,0,4,1.0,0
1980,USA03,-0.5869270759623664,0,0,1,4,2.0,0,0,1,0,13,0.0,0
1980,USA03,0.5488192248123731,0,0,1,4,2.0,0,0,0,1,6,2.0,0
1980,USA03,2.2293295003586326,0,0,1,4,2.0,0,0,1,0,1,1.0,1
1980,USA03,1.8770669781539882,0,0,1,4,2.0,0,0,0,0,5,0.0,0
1980,USA03,0.9047851170715067,0,0,1,4,2.0,0,0,0,1,3,1.0,0
1980,USA03,0.5461404826173855,0,0,1,4,2.0,0,0,1,0,2,0.0,0
1980,USA03,0.9611552212736534,0,0,1,4,2.0,0,0,0,1,22,0.0,0
1980,USA03,-1.280501839205256,0,0,1,4,2.0,0,0,0,1,14,0.0,0
1980,USA03,-0.16462372926801816,0,0,1,4,2.0,0,0,1,0,9,0.0,0
1980,USA03,0.9090142505540264,0,0,1,4,2.0,0,0,1,0,2,0.0,0
1980,USA03,0.8939348971407419,0,0,1,4,2.0,0,0,0,1,25,0.0,0
1980,USA03,0.5113303524643138,0,0,1,4,2.0,0,1,0,0,1,1.0,1
1980,USA03,0.04649296063922659,0,0,1,4,2.0,0,0,0,1,3,0.0,0
1980,USA03,0.9271680783364262,0,0,1,4,2.0,0,0,1,0,13,0.0,0
1980,USA03,0.7384977407974889,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,-0.021056146444221824,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,0.8167312542642522,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,0.8508349455544622,0,0,1,4,2.0,0,1,0,0,3,2.0,0
1980,USA03,0.8351181822443632,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,1.9334028997884412,0,0,1,4,2.0,0,0,1,0,22,0.0,0
1980,USA03,1.0494767895529664,0,0,1,4,2.0,0,0,0,1,8,0.0,0
1980,USA03,0.3992604463098841,0,0,1,4,2.0,0,1,0,0,2,0.0,0
1980,USA03,0.38123490889985057,0,0,1,4,2.0,0,0,1,0,27,0.0,0
1980,USA03,1.321129065482383,0,0,1,4,2.0,0,0,1,0,2,0.0,0
1980,USA03,1.826934956222975,0,0,1,4,2.0,0,0,1,0,3,0.0,0
1980,USA03,-0.22954746771670642,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,-0.7044701088376675,0,0,1,4,2.0,0,0,0,1,5,1.0,0
1980,USA03,-0.08509581181948445,0,0,1,4,2.0,0,1,0,0,4,0.0,0
1980,USA03,-0.5444433582187935,0,0,1,4,2.0,0,1,0,0,15,0.0,0
1980,USA03,0.6000079888784358,0,0,1,4,2.0,0,0,0,1,9,0.0,0
1980,USA03,0.08913084700254448,0,0,1,4,2.0,0,0,0,1,11,0.0,0
1980,USA03,-0.8561707600132067,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,-0.694807464457428,0,0,1,4,2.0,0,0,1,0,1,1.0,1
1980,USA03,-0.8932851850258565,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,-1.180748759457071,0,0,1,4,2.0,0,0,0,1,5,0.0,0
1980,USA03,1.085688222518983,0,0,1,4,2.0,0,0,1,0,16,0.0,0
1980,USA03,0.04653295344858499,0,0,1,4,2.0,0,0,1,0,4,0.0,0
1980,USA03,-0.5039999405855955,0,0,1,4,2.0,0,0,1,0,2,0.0,0
1980,USA03,4.400082161912923,0,0,1,4,2.0,0,0,1,0,12,0.0,0
1980,USA03,-0.6915570473127763,0,0,1,4,2.0,0,0,0,1,9,0.0,0
1980,USA03,-0.9346961790585411,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,-0.8573216059051125,0,0,1,4,2.0,0,0,0,1,12,0.0,0
1980,USA03,0.33014878033814643,0,0,1,4,2.0,0,0,0,1,4,0.0,0
1980,USA03,1.1797642150952967,0,0,1,4,2.0,0,0,0,1,6,2.0,0
1980,USA03,0.2822456333621064,0,0,1,4,2.0,0,0,1,0,19,0.0,0
1980,USA03,0.6078122295504338,0,0,1,4,2.0,0,0,0,1,5,1.0,0
1980,USA03,-1.7122780728446623,0,0,1,4,2.0,0,0,0,1,18,0.0,0
1980,USA03,0.9419200081625352,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,2.646869623403963,0,0,1,4,2.0,0,0,1,0,8,0.0,0
1980,USA03,0.10590087707439988,0,0,1,4,2.0,0,1,0,0,3,2.0,0
1980,USA03,-0.33856013123740514,0,0,1,4,2.0,0,1,0,0,5,2.0,0
1980,USA03,1.34322594656207,0,0,1,4,2.0,0,0,0,1,1,2.0,1
1980,USA03,1.384850825078514,0,0,1,4,2.0,0,0,1,0,6,1.0,0
1980,USA03,1.793652529893822,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,0.7776067105240827,0,0,1,4,2.0,0,0,0,1,4,0.0,0
1980,USA03,0.5135279507199311,0,0,1,4,2.0,0,0,1,0,10,0.0,0
1980,USA03,0.7536614918448654,0,0,1,4,2.0,0,0,1,0,3,1.0,0
1980,USA03,0.2896761743361882,0,0,1,4,2.0,0,0,1,0,2,0.0,0
1980,USA03,3.959790065692994,0,0,1,4,2.0,0,0,1,0,7,0.0,0
1980,USA03,0.2582109364568055,0,0,1,4,2.0,0,1,0,0,26,0.0,0
1980,USA03,-0.18027948153028905,0,0,1,4,2.0,0,0,1,0,5,0.0,0
1980,USA03,-0.182249809046648,0,0,1,4,2.0,0,0,1,0,15,0.0,0
1980,USA03,0.9660476010781611,0,0,1,4,2.0,0,0,0,1,10,0.0,0
1980,USA03,1.02558826268596,0,0,1,4,2.0,0,0,1,0,4,1.0,0
1980,USA03,0.23341549524625815,0,0,1,4,2.0,0,0,1,0,8,0.0,0
1980,USA03,0.9547905042977076,0,0,1,4,2.0,0,1,0,0,1,0.0,1
1980,USA03,2.1792331756292755,0,0,1,4,2.0,0,0,1,0,11,0.0,0
1980,USA03,0.8382678878510585,0,0,1,4,2.0,0,0,0,1,16,0.0,0
1980,USA03,-0.013085777018376987,0,0,1,4,2.0,0,0,1,0,7,0.0,0
1980,USA03,1.3551905073436483,0,0,1,4,2.0,0,0,0,1,1,1.0,1
1980,USA03,0.877574630405582,0,0,1,4,2.0,0,0,1,0,5,0.0,0
1980,USA03,1.2446731737030188,0,0,1,4,2.0,0,0,0,1,20,0.0,0
1980,USA03,-0.10368716040478265,0,0,1,4,2.0,0,0,0,1,9,0.0,0
1980,USA03,-1.0030701500244725,0,0,1,4,2.0,0,0,1,0,14,0.0,0
1980,USA03,0.44088072848797566,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,1.261162340086643,0,0,1,4,2.0,0,1,0,0,4,0.0,0
1980,USA03,1.2508021164928058,0,0,1,4,2.0,0,0,1,0,11,0.0,0
1980,USA03,0.3047654335964465,0,0,1,4,2.0,0,1,0,0,2,0.0,0
1980,USA03,0.7592287288573178,0,0,1,4,2.0,0,0,1,0,4,0.0,0
1980,USA03,-1.9986554365464397,0,0,1,4,2.0,0,0,1,0,3,1.0,0
1980,USA03,-2.5555629993773965,0,0,1,4,2.0,0,0,1,0,7,0.0,0
1980,USA03,0.7778361398811038,0,0,1,4,2.0,0,0,1,0,13,0.0,0
1980,USA03,1.7557036369239878,0,0,1,4,2.0,0,0,1,0,1,1.0,1
1980,USA03,0.3833314010950293,0,0,1,4,2.0,0,0,0,0,2,0.0,0
1980,USA03,0.3013976069793296,0,0,1,4,2.0,0,0,1,0,9,0.0,0
1980,USA03,0.2558731014908586,0,0,1,4,2.0,0,0,0,1,18,0.0,0
1980,USA03,-0.16706603931720831,0,0,1,4,2.0,0,0,1,0,3,0.0,0
1980,USA03,2.1189036722104033,0,0,1,4,2.0,0,0,1,0,13,0.0,0
1980,USA03,-1.516279074746269,0,0,1,4,2.0,0,1,0,0,21,0.0,0
1980,USA03,2.083170752998308,0,0,1,4,2.0,0,0,0,1,23,0.0,0
1980,USA03,1.1184312884175345,0,0,1,4,2.0,0,0,1,0,1,1.0,1
1980,USA03,1.5185886554194132,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,2.8573192405562686,0,0,1,4,2.0,0,0,1,0,1,0.0,1
1980,USA03,0.3300735107267956,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,0.0034561221621576266,0,0,1,4,2.0,0,0,1,0,9,0.0,0
1980,USA03,0.534846815694701,0,0,1,4,2.0,0,1,0,0,1,2.0,1
1980,USA03,-0.632506485359321,0,0,1,4,2.0,0,0,1,0,4,1.0,0
1980,USA03,1.9807344956718023,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,0.03152061458890554,0,0,1,4,2.0,0,0,0,0,0,0.0,0
1980,USA03,-0.1445370288057859,0,0,1,4,2.0,0,0,1,0,2,1.0,0
1980,USA03,0.279915115074826,0,0,1,4,2.0,0,0,0,1,11,0.0,0
1980,USA03,0.6419189630730457,0,0,1,4,2.0,0,0,1,0,2,1.0,0
1980,USA03,0.6419189630730457,0,0,1,4,2.0,0,0,0,1,2,1.0,0
