,country,type,value
1,204,Adjusted R-Squared,0.012944478423650763
0,205,R-Squared,0.020588005890845973
1,205,Adjusted R-Squared,0.018639896504253795
0,206,R-Squared,0.024635317709329918
1,206,Adjusted R-Squared,0.02227365988296026
0,208,R-Squared,0.009163852519084248
1,208,Adjusted R-Squared,0.005892416621499752
0,211,R-Squared,0.037129159960397895
1,211,Adjusted R-Squared,0.032778184632609286
0,212,R-Squared,0.025126021142611754
1,212,Adjusted R-Squared,0.02245440157873846
0,213,R-Squared,0.02410639675823334
1,213,Adjusted R-Squared,0.021653889273646643
0,214,R-Squared,0.10115763757411711
1,214,Adjusted R-Squared,0.09666117753196657
0,217,R-Squared,0.071776055089534
1,217,Adjusted R-Squared,0.06941716323461533
0,218,R-Squared,0.012012230960056214
1,218,Adjusted R-Squared,0.009216998074397798
0,219,R-Squared,0.045451631738082754
1,219,Adjusted R-Squared,0.04348754044536285
0,220,R-Squared,0.01181715982217646
1,220,Adjusted R-Squared,0.010259740058302769
0,221,R-Squared,0.007031883863875321
1,221,Adjusted R-Squared,0.005599442842328606
0,222,R-Squared,0.03427874393506025
1,222,Adjusted R-Squared,0.03006663694984446
0,224,R-Squared,0.07415320531528458
1,224,Adjusted R-Squared,0.07015935639703674
0,225,R-Squared,0.08698258075195742
1,225,Adjusted R-Squared,0.07655802410973434
0,227,R-Squared,0.014845052355239807
1,227,Adjusted R-Squared,0.011711773963578698
0,228,R-Squared,0.00434024158521451
1,228,Adjusted R-Squared,0.0025045010764985776
0,231,R-Squared,0.008957771406049697
1,231,Adjusted R-Squared,0.007357438975848174
0,232,R-Squared,0.12651633581839794
1,232,Adjusted R-Squared,0.12410938165972729
0,233,R-Squared,0.021099559655226474
1,233,Adjusted R-Squared,0.018751513504243644
