,country,type,value
0,35,R-Squared,0.10947197494973193
1,35,Adjusted R-Squared,0.08580345601151884
0,36,R-Squared,0.006268094454924933
1,36,Adjusted R-Squared,0.0005896264232386761
0,37,R-Squared,0.10481379866018581
1,37,Adjusted R-Squared,0.01724123548563883
0,39,R-Squared,0.11404933968720055
1,39,Adjusted R-Squared,0.05462581978817127
0,40,R-Squared,0.043568087389647125
1,40,Adjusted R-Squared,0.022489698131016755
0,41,R-Squared,0.029010438125400717
1,41,Adjusted R-Squared,0.014072137173483878
0,42,R-Squared,0.02544527679940789
1,42,Adjusted R-Squared,0.023435885617551055
0,43,R-Squared,0.13111370030690928
1,43,Adjusted R-Squared,0.09022493326252845
0,44,R-Squared,0.03319588245952032
1,44,Adjusted R-Squared,0.019102527976422867
0,45,R-Squared,0.09018714086151924
1,45,Adjusted R-Squared,0.009314886715876547
0,46,R-Squared,0.07334037454222075
1,46,Adjusted R-Squared,0.04786519583547777
0,48,R-Squared,0.11428721384626339
1,48,Adjusted R-Squared,0.09021893161382488
0,49,R-Squared,0.029977734692477
1,49,Adjusted R-Squared,0.014183613683399376
0,50,R-Squared,0.05198545509542807
1,50,Adjusted R-Squared,0.04644960373832108
0,51,R-Squared,0.1300163582584467
1,51,Adjusted R-Squared,0.11553856694353437
0,52,R-Squared,0.033248957799524304
1,52,Adjusted R-Squared,0.023244948896226858
0,53,R-Squared,0.010343258520633558
1,53,Adjusted R-Squared,-0.0001403934018173736
0,54,R-Squared,0.0633417816022318
1,54,Adjusted R-Squared,0.04056589787219489
0,56,R-Squared,0.09104197345512222
1,56,Adjusted R-Squared,0.05387268612429075
0,57,R-Squared,0.031229853529382012
1,57,Adjusted R-Squared,0.025136959526422142
0,58,R-Squared,0.024129341524303127
1,58,Adjusted R-Squared,0.005427987442016335
0,59,R-Squared,0.07916312327082575
1,59,Adjusted R-Squared,0.053760726671400194
0,60,R-Squared,0.024847499998684852
1,60,Adjusted R-Squared,0.0212508102799156
0,61,R-Squared,0.054703190107980304
1,61,Adjusted R-Squared,0.019214231374832913
0,62,R-Squared,0.05724711480679179
1,62,Adjusted R-Squared,0.02233034128111744
0,63,R-Squared,0.01838880589128422
1,63,Adjusted R-Squared,-0.0018738105008682115
0,64,R-Squared,0.13002570034814098
