,country,type,value
0,146,R-Squared,0.010163694291518865
1,146,Adjusted R-Squared,0.0063896217220931195
0,147,R-Squared,0.008617626157836455
1,147,Adjusted R-Squared,0.004860808741171341
0,148,R-Squared,0.04246319052972336
1,148,Adjusted R-Squared,0.04031361810030032
0,152,R-Squared,0.022305358510702034
1,152,Adjusted R-Squared,0.020045315418956156
0,153,R-Squared,0.1378356204126383
1,153,Adjusted R-Squared,0.1358285866058171
0,154,R-Squared,0.016657431626244446
1,154,Adjusted R-Squared,0.014357459639829151
0,156,R-Squared,0.018721854555654893
1,156,Adjusted R-Squared,0.015342797580984335
0,157,R-Squared,0.02368890030802029
1,157,Adjusted R-Squared,0.01844836837193875
0,158,R-Squared,0.07914048912073313
1,158,Adjusted R-Squared,0.07426821657639837
0,159,R-Squared,0.03067400726542857
1,159,Adjusted R-Squared,0.02787248705521317
0,160,R-Squared,0.012801470980572716
1,160,Adjusted R-Squared,0.01072945914261203
0,162,R-Squared,0.024860677394248576
1,162,Adjusted R-Squared,0.022541427113456525
0,163,R-Squared,0.05353512422697149
1,163,Adjusted R-Squared,0.05101914703182797
0,165,R-Squared,0.03112945525084565
1,165,Adjusted R-Squared,0.02895527170021639
0,166,R-Squared,0.01787747606403023
1,166,Adjusted R-Squared,0.015721334408847043
0,167,R-Squared,0.04478090184210348
1,167,Adjusted R-Squared,0.03869023809189387
0,168,R-Squared,0.017725081670497356
1,168,Adjusted R-Squared,0.015127720107606879
0,171,R-Squared,0.010280044639555674
1,171,Adjusted R-Squared,0.008675440302071125
0,172,R-Squared,0.04310949980361489
1,172,Adjusted R-Squared,0.04065199611129677
0,177,R-Squared,0.011830569334964292
1,177,Adjusted R-Squared,0.00419187380628161
0,180,R-Squared,0.08938643446948058
1,180,Adjusted R-Squared,0.08278778544389709
0,183,R-Squared,0.008971228170826628
1,183,Adjusted R-Squared,0.007329772648128174
0,184,R-Squared,0.07160032829581708
1,184,Adjusted R-Squared,0.06902501713991094
0,187,R-Squared,0.04542965191069448
1,187,Adjusted R-Squared,0.0421414316279205
0,188,R-Squared,0.004210646233164583
1,188,Adjusted R-Squared,0.002005743152584838
0,189,R-Squared,0.04876029536529758
1,189,Adjusted R-Squared,0.04548529168736892
0,191,R-Squared,0.053307398482940416
1,191,Adjusted R-Squared,0.04352246203315158
0,192,R-Squared,0.004076922561877083
1,192,Adjusted R-Squared,0.0015225459027312649
0,193,R-Squared,0.039763892064844986
1,193,Adjusted R-Squared,0.03753361394252941
0,194,R-Squared,0.03287371601318778
1,194,Adjusted R-Squared,0.02607664373617191
0,195,R-Squared,0.01478564505583324
1,195,Adjusted R-Squared,0.012659422198390557
0,196,R-Squared,0.04105112933703903
1,196,Adjusted R-Squared,0.03840136732912813
0,198,R-Squared,0.014561813811837299
1,198,Adjusted R-Squared,0.006934583268585204
0,200,R-Squared,0.1099352384996729
1,200,Adjusted R-Squared,0.10524245416838818
0,201,R-Squared,0.02055032815390123
1,201,Adjusted R-Squared,0.018183468226329325
0,202,R-Squared,0.0057704649618745
1,202,Adjusted R-Squared,0.004267188401620214
0,203,R-Squared,0.014059007495857423
1,203,Adjusted R-Squared,0.012168873793477197
0,204,R-Squared,0.017493121380223187
1,204,Adjusted R-Squared,0.012944478423650208
0,205,R-Squared,0.020588005890845196
1,205,Adjusted R-Squared,0.018639896504253017
0,206,R-Squared,0.024757414859338356
1,206,Adjusted R-Squared,0.022396052667714494
0,208,R-Squared,0.009163852519083915
1,208,Adjusted R-Squared,0.005892416621499419
0,211,R-Squared,0.037129159960397895
1,211,Adjusted R-Squared,0.032778184632609286
0,212,R-Squared,0.025126021142612642
1,212,Adjusted R-Squared,0.022454401578739347
0,213,R-Squared,0.024103950366551108
1,213,Adjusted R-Squared,0.02185628358556957
0,214,R-Squared,0.10115763757411822
1,214,Adjusted R-Squared,0.09666117753196768
0,217,R-Squared,0.07173212739825852
1,217,Adjusted R-Squared,0.069373123910071
0,218,R-Squared,0.012012230960055437
1,218,Adjusted R-Squared,0.00921699807439702
0,219,R-Squared,0.04545163173808209
1,219,Adjusted R-Squared,0.04348754044536218
0,220,R-Squared,0.011800579617364026
1,220,Adjusted R-Squared,0.010243133722355968
0,221,R-Squared,0.007031883863876431
1,221,Adjusted R-Squared,0.005599442842329716
0,222,R-Squared,0.03313672105115206
1,222,Adjusted R-Squared,0.02891963299863931
0,224,R-Squared,0.07415320531528458
1,224,Adjusted R-Squared,0.07015935639703674
0,225,R-Squared,0.08698258075195708
1,225,Adjusted R-Squared,0.076558024109734
0,227,R-Squared,0.01476766225815973
1,227,Adjusted R-Squared,0.01163413772783839
0,228,R-Squared,0.00434024158521451
1,228,Adjusted R-Squared,0.0025045010764985776
0,231,R-Squared,0.008957771406050252
1,231,Adjusted R-Squared,0.007357438975848729
0,232,R-Squared,0.1265163358183975
1,232,Adjusted R-Squared,0.12410938165972685
0,233,R-Squared,0.02110598748249326
1,233,Adjusted R-Squared,0.01875795674966163
