,country,name,coefficient, tvalue,pvalue,tvalue
9,12,partner_left,0.3000137616448233,,0.013554292161741283,2.469720428022336
10,12,partner_years_inoffice,0.005421619604889412,,0.07350522049301467,1.7900488587174437
11,12,partner_change,0.06059812732779987,,0.076901996460602,1.769308620591331
12,12,partner_election,-0.029687802096579247,,0.6571012471408804,-0.44394485071213047
0,13,const,0.3098475218767616,,0.0023880029025806666,3.038968421905991
1,13,right,0.5469942213877834,,4.74985644898045e-15,7.861518153445015
2,13,center,1.1523924594942401e-15,,1.4210681977693033e-29,11.376918332474592
3,13,left,-0.23714669951101885,,0.00017565874242161524,-3.7549247760229028
4,13,years_inoffice,-0.027316031765635282,,0.015412443221557045,-2.4234961055341415
5,13,change,-0.3899935182274547,,4.837132420231486e-19,-8.957334049189017
6,13,election,0.08690889631260477,,0.35725548986622035,0.9207050364626002
7,13,partner_right,0.4312463503543829,,0.006278857912464826,2.7341821513916633
8,13,partner_center,0.32434272863980884,,0.027898146387503903,2.199452979963552
9,13,partner_left,0.443528838313133,,0.0035835957835493246,2.9142522787502947
10,13,partner_years_inoffice,-0.003635634616566632,,0.34798555094131267,-0.9386052590993634
11,13,partner_change,-0.012951376024959764,,0.7674943870250884,-0.29567239876736673
12,13,partner_election,-0.12041323200186019,,0.16846032705827313,-1.3773971985156286
0,14,const,-0.04944755647900205,,0.8101398988657516,-0.24026743343526524
1,14,right,3.9507417761049907e-16,,0.5514414405860706,0.5956710207192192
2,14,center,-0.5740112766937884,,0.0016979730384632955,-3.141464600648901
3,14,left,-1.9126803926093291e-16,,0.14606110069311928,-1.453975717300769
4,14,years_inoffice,0.20183949406594892,,7.797381944389973e-75,18.84571841562922
5,14,change,2.1161534168453804e-16,,0.0024676118965314977,3.029936116235026
6,14,election,0.5044940521769421,,0.006096846605456012,2.7445401295467295
7,14,partner_right,-0.10773220664310706,,0.6282970075316908,-0.48417666456284586
8,14,partner_center,-0.021531533549937774,,0.916671859277459,-0.10463601806818967
9,14,partner_left,0.01705118294780186,,0.9359717966042413,0.08034073552425755
10,14,partner_years_inoffice,0.012739181436448872,,0.029959765904897084,2.1716896962818346
11,14,partner_change,-0.1284514800677398,,0.049716928098977986,-1.963211298787376
12,14,partner_election,-0.1279081098291986,,0.3237072254272556,-0.9870359883126757
0,15,const,-0.7400391257764252,,0.0024879022858217427,-3.0286147561252283
1,15,right,-0.43821336300057734,,0.00040278331657511344,-3.5441853743716885
2,15,center,-0.30182576277584894,,0.0377474199773463,-2.0789554780004
3,15,left,-2.24625787770307e-16,,9.140587256285345e-11,-6.515182398941328
4,15,years_inoffice,0.00752013510945583,,0.6671176010322233,0.43017040132744594
5,15,change,1.0772320673845708,,6.049506111634058e-08,5.43775488393365
6,15,election,-0.2549856643851201,,0.08010888257044235,-1.7509354790380045
7,15,partner_right,1.0783252464317807,,0.00037405637655563866,3.563767792756893
8,15,partner_center,0.8568754682013473,,0.0031415278823993093,2.9570990918625193
9,15,partner_left,1.0151405581850779,,0.0006831296856844574,3.40154055043158
10,15,partner_years_inoffice,0.006479870000625455,,0.39359977767548926,0.8532898995205955
11,15,partner_change,-0.21048447855715444,,0.003279944144833904,-2.9437209363769896
12,15,partner_election,-0.1259511579770427,,0.39704062935093376,-0.8470984822966625
0,16,right,0.0,,,
1,16,center,0.7062631015995211,,0.014035315272645368,2.457884353264155
2,16,left,-1.269437486337781e-15,,0.012068856070312486,-2.5117433459664795
3,16,years_inoffice,-0.011854176142032062,,0.16656231760557896,-1.3836904148371583
