,country,type,value
1,60,Adjusted R-Squared,0.029513060570651284
0,61,R-Squared,0.0173696510043283
1,61,Adjusted R-Squared,0.004988283491209944
0,62,R-Squared,0.09258294626347252
1,62,Adjusted R-Squared,0.0824522933509434
0,63,R-Squared,0.023869692252825203
1,63,Adjusted R-Squared,0.015110796171345031
0,64,R-Squared,0.06536954504672043
1,64,Adjusted R-Squared,0.05527039474761819
0,65,R-Squared,0.02867754119634358
1,65,Adjusted R-Squared,0.023296253335935546
0,68,R-Squared,0.10033412410568932
1,68,Adjusted R-Squared,0.08918124134666883
0,69,R-Squared,0.05399647175002009
1,69,Adjusted R-Squared,0.0475169955291298
0,70,R-Squared,0.02362502564077218
1,70,Adjusted R-Squared,0.020729332807676526
0,73,R-Squared,0.03164905332786727
1,73,Adjusted R-Squared,0.02129235871105295
0,74,R-Squared,0.053371431072012365
1,74,Adjusted R-Squared,0.04232559012769521
0,75,R-Squared,0.054759113447022
1,75,Adjusted R-Squared,0.025322546045718153
0,76,R-Squared,0.010654540169100168
1,76,Adjusted R-Squared,0.007830528390324942
0,77,R-Squared,0.04694935655929011
1,77,Adjusted R-Squared,0.0411251581827079
0,78,R-Squared,0.03100522072970091
1,78,Adjusted R-Squared,0.02564896818097062
0,80,R-Squared,0.08404530874244032
1,80,Adjusted R-Squared,0.06997337912814827
0,83,R-Squared,0.038458004946276825
1,83,Adjusted R-Squared,0.027023451491583805
0,84,R-Squared,0.06075471335640925
1,84,Adjusted R-Squared,0.05250848608122405
0,85,R-Squared,0.08624575292361825
1,85,Adjusted R-Squared,0.06560653995064047
0,86,R-Squared,0.012780164070091193
1,86,Adjusted R-Squared,0.0017651589272190682
0,87,R-Squared,0.01137603936785303
1,87,Adjusted R-Squared,0.002794234154032238
0,88,R-Squared,0.017102772637192842
1,88,Adjusted R-Squared,0.004801180304742192
0,90,R-Squared,0.05840313575057576
1,90,Adjusted R-Squared,0.05204529061722385
0,91,R-Squared,0.042173013546284444
1,91,Adjusted R-Squared,0.026633047689365696
0,92,R-Squared,0.08679619780159631
1,92,Adjusted R-Squared,0.08209622969970021
0,93,R-Squared,0.014612577280349925
1,93,Adjusted R-Squared,0.01090462837077455
0,94,R-Squared,0.023361805681429204
1,94,Adjusted R-Squared,0.020614581506130936
0,95,R-Squared,0.02389742552633256
1,95,Adjusted R-Squared,0.02053284369168562
0,96,R-Squared,0.024984813610383516
1,96,Adjusted R-Squared,0.020095068442932962
0,97,R-Squared,0.043150193195361175
1,97,Adjusted R-Squared,0.039847294310981995
0,98,R-Squared,0.017651812350304774
1,98,Adjusted R-Squared,0.013692061509929854
0,99,R-Squared,0.05106078878545317
1,99,Adjusted R-Squared,0.04240258430356869
0,100,R-Squared,0.028290949243586216
1,100,Adjusted R-Squared,0.01879232704655387
0,101,R-Squared,0.09936866849494996
1,101,Adjusted R-Squared,0.09606855368930178
0,102,R-Squared,0.012543090342656993
1,102,Adjusted R-Squared,0.008986289227277067
0,103,R-Squared,0.12739825189629916
1,103,Adjusted R-Squared,0.12086190921387441
0,104,R-Squared,0.05405007868699696
1,104,Adjusted R-Squared,0.05002475987289923
0,106,R-Squared,0.016924457044708574
1,106,Adjusted R-Squared,0.011937390244681767
0,107,R-Squared,0.0520327702116925
1,107,Adjusted R-Squared,0.03979375668156171
0,108,R-Squared,0.029940551022846984
1,108,Adjusted R-Squared,0.01774706632900025
0,109,R-Squared,0.0449475917324208
1,109,Adjusted R-Squared,0.0343358983072255
0,110,R-Squared,0.015505984848127152
1,110,Adjusted R-Squared,0.010593340061940126
0,111,R-Squared,0.12438624111153918
1,111,Adjusted R-Squared,0.10317092977283193
0,112,R-Squared,0.0382313352749879
1,112,Adjusted R-Squared,0.0295382742133814
0,113,R-Squared,0.08194093269199632
1,113,Adjusted R-Squared,0.0781818191315905
